"data_type","synthetic_source","snapshot_id","user_id","snapshot_date","documentation_score","compliance_score","reconciliation_score","tax_accuracy_score","actionability_score","readiness_score","calculation_version"
"synthetic","generated_for_testing","RS0035","USR0035","2026-08-31","100","50","100","100","0","77.50","READY-001_to_READY-005"
"synthetic","generated_for_testing","RS0036","USR0036","2026-08-31","62.5","100","50","100","50","73.75","READY-001_to_READY-005"
"synthetic","generated_for_testing","RS0037","USR0037","2026-08-31","100","50","100","100","0","77.50","READY-001_to_READY-005"
"synthetic","generated_for_testing","RS0038","USR0038","2026-08-31","50","50","75","100","50","62.50","READY-001_to_READY-005"
"synthetic","generated_for_testing","RS0039","USR0039","2026-08-31","100","100","100","100","0","90.00","READY-001_to_READY-005"
"synthetic","generated_for_testing","RS0040","USR0040","2026-08-31","62.5","50","75","100","50","66.25","READY-001_to_READY-005"
"synthetic","generated_for_testing","RS0041","USR0041","2026-08-31","100","50","100","100","0","77.50","READY-001_to_READY-005"
"synthetic","generated_for_testing","RS0042","USR0042","2026-08-31","50","100","50","100","50","70.00","READY-001_to_READY-005"
"synthetic","generated_for_testing","RS0043","USR0043","2026-08-31","100","50","100","100","0","77.50","READY-001_to_READY-005"
"synthetic","generated_for_testing","RS0044","USR0044","2026-08-31","62.5","50","75","100","50","66.25","READY-001_to_READY-005"
"synthetic","generated_for_testing","RS0045","USR0045","2026-08-31","100","100","100","100","0","90.00","READY-001_to_READY-005"
"synthetic","generated_for_testing","RS0046","USR0046","2026-08-31","50","50","75","100","50","62.50","READY-001_to_READY-005"
"synthetic","generated_for_testing","RS0047","USR0047","2026-08-31","100","50","100","100","0","77.50","READY-001_to_READY-005"
"synthetic","generated_for_testing","RS0048","USR0048","2026-08-31","62.5","100","50","100","50","73.75","READY-001_to_READY-005"
"synthetic","generated_for_testing","RS0049","USR0049","2026-08-31","100","50","100","100","0","77.50","READY-001_to_READY-005"
"synthetic","generated_for_testing","RS0050","USR0050","2026-08-31","50","50","75","100","50","62.50","READY-001_to_READY-005"
