"data_type","synthetic_source","user_risk_id","user_id","risk_id","trigger_record_type","trigger_record_id","evaluated_on","status","severity"
"synthetic","generated_for_testing","URISK0064","USR0014","RISK-001","document","DOC00064","2026-08-20","open","HIGH"
"synthetic","generated_for_testing","URISK0065","USR0015","RISK-002","income_record","INC001501","2026-08-20","open","HIGH"
"synthetic","generated_for_testing","URISK0066","USR0016","RISK-003","obligation","OBLITR0016","2026-08-20","resolved","MEDIUM"
"synthetic","generated_for_testing","URISK0067","USR0017","RISK-004","obligation","OBLITR0017","2026-08-20","open","HIGH"
"synthetic","generated_for_testing","URISK0068","USR0018","RISK-005","reconciliation","REC0018","2026-08-20","open","HIGH"
"synthetic","generated_for_testing","URISK0069","USR0019","RISK-006","transaction","TXN00019","2026-08-20","resolved","MEDIUM"
"synthetic","generated_for_testing","URISK0070","USR0020","RISK-007","transaction","TXN00020","2026-08-20","open","HIGH"
"synthetic","generated_for_testing","URISK0071","USR0021","RISK-001","transaction","TXN00021","2026-08-20","open","HIGH"
"synthetic","generated_for_testing","URISK0072","USR0022","RISK-002","income_record","INC002201","2026-08-20","resolved","HIGH"
"synthetic","generated_for_testing","URISK0073","USR0023","RISK-003","obligation","OBLITR0023","2026-08-20","open","MEDIUM"
"synthetic","generated_for_testing","URISK0074","USR0024","RISK-004","transaction","TXN00024","2026-08-20","open","HIGH"
"synthetic","generated_for_testing","URISK0075","USR0025","RISK-005","transaction","TXN00025","2026-08-20","resolved","HIGH"
"synthetic","generated_for_testing","URISK0076","USR0026","RISK-006","transaction","TXN00026","2026-08-20","open","MEDIUM"
"synthetic","generated_for_testing","URISK0077","USR0027","RISK-007","transaction","TXN00027","2026-08-20","open","HIGH"
"synthetic","generated_for_testing","URISK0078","USR0028","RISK-001","document","DOC00028","2026-08-20","resolved","HIGH"
"synthetic","generated_for_testing","URISK0079","USR0029","RISK-002","income_record","INC002901","2026-08-20","open","HIGH"
"synthetic","generated_for_testing","URISK0080","USR0030","RISK-003","transaction","TXN00030","2026-08-20","open","MEDIUM"
"synthetic","generated_for_testing","URISK0081","USR0031","RISK-004","obligation","OBLITR0031","2026-08-20","resolved","HIGH"
"synthetic","generated_for_testing","URISK0082","USR0032","RISK-005","reconciliation","REC0132","2026-08-20","open","HIGH"
"synthetic","generated_for_testing","URISK0083","USR0033","RISK-006","transaction","TXN00033","2026-08-20","open","MEDIUM"
"synthetic","generated_for_testing","URISK0084","USR0034","RISK-007","transaction","TXN00034","2026-08-20","resolved","HIGH"
"synthetic","generated_for_testing","URISK0085","USR0035","RISK-001","transaction","TXN00035","2026-08-20","open","HIGH"
"synthetic","generated_for_testing","URISK0086","USR0036","RISK-002","income_record","INC003601","2026-08-20","open","HIGH"
"synthetic","generated_for_testing","URISK0087","USR0037","RISK-003","obligation","OBLITR0037","2026-08-20","resolved","MEDIUM"
"synthetic","generated_for_testing","URISK0088","USR0038","RISK-004","obligation","OBLITR0038","2026-08-20","open","HIGH"
"synthetic","generated_for_testing","URISK0089","USR0039","RISK-005","transaction","TXN00039","2026-08-20","open","HIGH"
"synthetic","generated_for_testing","URISK0090","USR0040","RISK-006","transaction","TXN00040","2026-08-20","resolved","MEDIUM"
"synthetic","generated_for_testing","URISK0091","USR0041","RISK-007","transaction","TXN00041","2026-08-20","open","HIGH"
"synthetic","generated_for_testing","URISK0092","USR0042","RISK-001","document","DOC00092","2026-08-20","open","HIGH"
"synthetic","generated_for_testing","URISK0093","USR0043","RISK-002","income_record","INC004301","2026-08-20","resolved","HIGH"
"synthetic","generated_for_testing","URISK0094","USR0044","RISK-003","obligation","OBLITR0044","2026-08-20","open","MEDIUM"
"synthetic","generated_for_testing","URISK0095","USR0045","RISK-004","transaction","TXN00045","2026-08-20","open","HIGH"
"synthetic","generated_for_testing","URISK0096","USR0046","RISK-005","reconciliation","REC0096","2026-08-20","resolved","HIGH"
"synthetic","generated_for_testing","URISK0097","USR0047","RISK-006","transaction","TXN00047","2026-08-20","open","MEDIUM"
"synthetic","generated_for_testing","URISK0098","USR0048","RISK-007","transaction","TXN00048","2026-08-20","open","HIGH"
"synthetic","generated_for_testing","URISK0099","USR0049","RISK-001","transaction","TXN00049","2026-08-20","resolved","HIGH"
"synthetic","generated_for_testing","URISK0100","USR0050","RISK-002","income_record","INC005001","2026-08-20","open","HIGH"
