"data_type","synthetic_source","user_evidence_id","user_id","document_id","evidence_id","verification_status","document_status","linked_event_id"
"synthetic","generated_for_testing","UE00120","USR0020","DOC00120","EV-010","missing","missing","DEDREC0020"
"synthetic","generated_for_testing","UE00121","USR0021","DOC00121","EV-011","verified","uploaded","DED0021"
"synthetic","generated_for_testing","UE00122","USR0022","DOC00122","EV-001","verified","uploaded","INC002201"
"synthetic","generated_for_testing","UE00123","USR0023","DOC00123","EV-002","verified","uploaded","INC002301"
"synthetic","generated_for_testing","UE00124","USR0024","DOC00124","EV-003","missing","missing","TXN00024"
"synthetic","generated_for_testing","UE00125","USR0025","DOC00125","EV-004","verified","uploaded","TXN00025"
"synthetic","generated_for_testing","UE00126","USR0026","DOC00126","EV-005","verified","uploaded","INC002601"
"synthetic","generated_for_testing","UE00127","USR0027","DOC00127","EV-006","verified","uploaded","INC002702"
"synthetic","generated_for_testing","UE00128","USR0028","DOC00128","EV-007","missing","missing","LOAN0028"
"synthetic","generated_for_testing","UE00129","USR0029","DOC00129","EV-008","verified","uploaded","TXN00029"
"synthetic","generated_for_testing","UE00130","USR0030","DOC00130","EV-009","verified","uploaded","TXN00030"
"synthetic","generated_for_testing","UE00131","USR0031","DOC00131","EV-010","verified","uploaded","TXN00031"
"synthetic","generated_for_testing","UE00132","USR0032","DOC00132","EV-011","missing","missing","TXN00032"
"synthetic","generated_for_testing","UE00133","USR0033","DOC00133","EV-001","verified","uploaded","INC003301"
"synthetic","generated_for_testing","UE00134","USR0034","DOC00134","EV-002","verified","uploaded","INC003401"
"synthetic","generated_for_testing","UE00135","USR0035","DOC00135","EV-003","verified","uploaded","TXN00035"
"synthetic","generated_for_testing","UE00136","USR0036","DOC00136","EV-004","missing","missing","TXN00036"
"synthetic","generated_for_testing","UE00137","USR0037","DOC00137","EV-005","verified","uploaded","INC003701"
"synthetic","generated_for_testing","UE00138","USR0038","DOC00138","EV-006","verified","uploaded","INC003802"
"synthetic","generated_for_testing","UE00139","USR0039","DOC00139","EV-007","verified","uploaded","TXN00039"
"synthetic","generated_for_testing","UE00140","USR0040","DOC00140","EV-008","missing","missing","INC004003"
"synthetic","generated_for_testing","UE00141","USR0041","DOC00141","EV-009","verified","uploaded","TXN00041"
"synthetic","generated_for_testing","UE00142","USR0042","DOC00142","EV-010","verified","uploaded","DED0042"
"synthetic","generated_for_testing","UE00143","USR0043","DOC00143","EV-011","verified","uploaded","TXN00043"
"synthetic","generated_for_testing","UE00144","USR0044","DOC00144","EV-001","missing","missing","INC004401"
"synthetic","generated_for_testing","UE00145","USR0045","DOC00145","EV-002","verified","uploaded","INC004501"
"synthetic","generated_for_testing","UE00146","USR0046","DOC00146","EV-003","verified","uploaded","TXN00046"
"synthetic","generated_for_testing","UE00147","USR0047","DOC00147","EV-004","verified","uploaded","TXN00047"
"synthetic","generated_for_testing","UE00148","USR0048","DOC00148","EV-005","missing","missing","INC004801"
"synthetic","generated_for_testing","UE00149","USR0049","DOC00149","EV-006","verified","uploaded","INC004902"
"synthetic","generated_for_testing","UE00150","USR0050","DOC00150","EV-007","verified","uploaded","TXN00050"
"synthetic","generated_for_testing","UE00151","USR0001","DOC00151","EV-008","verified","uploaded","TXN00001"
"synthetic","generated_for_testing","UE00152","USR0002","DOC00152","EV-009","missing","missing","TXN00002"
"synthetic","generated_for_testing","UE00153","USR0003","DOC00153","EV-010","verified","uploaded","DED0003"
"synthetic","generated_for_testing","UE00154","USR0004","DOC00154","EV-011","verified","uploaded","TXN00004"
"synthetic","generated_for_testing","UE00155","USR0005","DOC00155","EV-001","verified","uploaded","INC000501"
"synthetic","generated_for_testing","UE00156","USR0006","DOC00156","EV-002","missing","missing","INC000601"
"synthetic","generated_for_testing","UE00157","USR0007","DOC00157","EV-003","verified","uploaded","TXN00007"
"synthetic","generated_for_testing","UE00158","USR0008","DOC00158","EV-004","verified","uploaded","TXN00008"
"synthetic","generated_for_testing","UE00159","USR0009","DOC00159","EV-005","verified","uploaded","INC000901"
"synthetic","generated_for_testing","UE00160","USR0010","DOC00160","EV-006","missing","missing","INC001002"
"synthetic","generated_for_testing","UE00161","USR0011","DOC00161","EV-007","verified","uploaded","TXN00011"
"synthetic","generated_for_testing","UE00162","USR0012","DOC00162","EV-008","verified","uploaded","TXN00012"
"synthetic","generated_for_testing","UE00163","USR0013","DOC00163","EV-009","verified","uploaded","TXN00013"
"synthetic","generated_for_testing","UE00164","USR0014","DOC00164","EV-010","missing","missing","DEDREC0028"
"synthetic","generated_for_testing","UE00165","USR0015","DOC00165","EV-011","verified","uploaded","DED0015"
"synthetic","generated_for_testing","UE00166","USR0016","DOC00166","EV-001","verified","uploaded","INC001601"
"synthetic","generated_for_testing","UE00167","USR0017","DOC00167","EV-002","verified","uploaded","INC001701"
"synthetic","generated_for_testing","UE00168","USR0018","DOC00168","EV-003","missing","missing","TXN00018"
"synthetic","generated_for_testing","UE00169","USR0019","DOC00169","EV-004","verified","uploaded","TXN00019"
"synthetic","generated_for_testing","UE00170","USR0020","DOC00170","EV-005","verified","uploaded","INC002001"
"synthetic","generated_for_testing","UE00171","USR0021","DOC00171","EV-006","verified","uploaded","INC002102"
"synthetic","generated_for_testing","UE00172","USR0022","DOC00172","EV-007","missing","missing","TXN00022"
"synthetic","generated_for_testing","UE00173","USR0023","DOC00173","EV-008","verified","uploaded","TXN00023"
"synthetic","generated_for_testing","UE00174","USR0024","DOC00174","EV-009","verified","uploaded","TXN00024"
"synthetic","generated_for_testing","UE00175","USR0025","DOC00175","EV-010","verified","uploaded","DEDREC0021"
"synthetic","generated_for_testing","UE00176","USR0026","DOC00176","EV-011","missing","missing","TXN00026"
"synthetic","generated_for_testing","UE00177","USR0027","DOC00177","EV-001","verified","uploaded","INC002701"
"synthetic","generated_for_testing","UE00178","USR0028","DOC00178","EV-002","verified","uploaded","INC002801"
"synthetic","generated_for_testing","UE00179","USR0029","DOC00179","EV-003","verified","uploaded","TXN00029"
"synthetic","generated_for_testing","UE00180","USR0030","DOC00180","EV-004","missing","missing","TXN00030"
"synthetic","generated_for_testing","UE00181","USR0031","DOC00181","EV-005","verified","uploaded","INC003101"
"synthetic","generated_for_testing","UE00182","USR0032","DOC00182","EV-006","verified","uploaded","INC003202"
"synthetic","generated_for_testing","UE00183","USR0033","DOC00183","EV-007","verified","uploaded","TXN00033"
"synthetic","generated_for_testing","UE00184","USR0034","DOC00184","EV-008","missing","missing","TXN00034"
"synthetic","generated_for_testing","UE00185","USR0035","DOC00185","EV-009","verified","uploaded","INC003503"
"synthetic","generated_for_testing","UE00186","USR0036","DOC00186","EV-010","verified","uploaded","DED0036"
"synthetic","generated_for_testing","UE00187","USR0037","DOC00187","EV-011","verified","uploaded","TXN00037"
"synthetic","generated_for_testing","UE00188","USR0038","DOC00188","EV-001","missing","missing","INC003801"
"synthetic","generated_for_testing","UE00189","USR0039","DOC00189","EV-002","verified","uploaded","INC003901"
"synthetic","generated_for_testing","UE00190","USR0040","DOC00190","EV-003","verified","uploaded","TXN00040"
"synthetic","generated_for_testing","UE00191","USR0041","DOC00191","EV-004","verified","uploaded","TXN00041"
"synthetic","generated_for_testing","UE00192","USR0042","DOC00192","EV-005","missing","missing","INC004201"
"synthetic","generated_for_testing","UE00193","USR0043","DOC00193","EV-006","verified","uploaded","INC004302"
"synthetic","generated_for_testing","UE00194","USR0044","DOC00194","EV-007","verified","uploaded","TXN00044"
"synthetic","generated_for_testing","UE00195","USR0045","DOC00195","EV-008","verified","uploaded","TXN00045"
"synthetic","generated_for_testing","UE00196","USR0046","DOC00196","EV-009","missing","missing","TXN00046"
"synthetic","generated_for_testing","UE00197","USR0047","DOC00197","EV-010","verified","uploaded","TXN00047"
"synthetic","generated_for_testing","UE00198","USR0048","DOC00198","EV-011","verified","uploaded","DED0048"
"synthetic","generated_for_testing","UE00199","USR0049","DOC00199","EV-001","verified","uploaded","INC004901"
"synthetic","generated_for_testing","UE00200","USR0050","DOC00200","EV-002","missing","missing","INC005001"
"synthetic","generated_for_testing","UE00201","USR0001","DOC00201","EV-003","verified","uploaded","TXN00001"
"synthetic","generated_for_testing","UE00202","USR0002","DOC00202","EV-004","verified","uploaded","TXN00002"
"synthetic","generated_for_testing","UE00203","USR0003","DOC00203","EV-005","verified","uploaded","INC000301"
"synthetic","generated_for_testing","UE00204","USR0004","DOC00204","EV-006","missing","missing","INC000402"
"synthetic","generated_for_testing","UE00205","USR0005","DOC00205","EV-007","verified","uploaded","TXN00005"
"synthetic","generated_for_testing","UE00206","USR0006","DOC00206","EV-008","verified","uploaded","TXN00006"
"synthetic","generated_for_testing","UE00207","USR0007","DOC00207","EV-009","verified","uploaded","TXN00007"
"synthetic","generated_for_testing","UE00208","USR0008","DOC00208","EV-010","missing","missing","TXN00008"
"synthetic","generated_for_testing","UE00209","USR0009","DOC00209","EV-011","verified","uploaded","DED0009"
"synthetic","generated_for_testing","UE00210","USR0010","DOC00210","EV-001","verified","uploaded","INC001001"
"synthetic","generated_for_testing","UE00211","USR0011","DOC00211","EV-002","verified","uploaded","INC001101"
"synthetic","generated_for_testing","UE00212","USR0012","DOC00212","EV-003","missing","missing","TXN00012"
"synthetic","generated_for_testing","UE00213","USR0013","DOC00213","EV-004","verified","uploaded","TXN00013"
"synthetic","generated_for_testing","UE00214","USR0014","DOC00214","EV-005","verified","uploaded","INC001401"
"synthetic","generated_for_testing","UE00215","USR0015","DOC00215","EV-006","verified","uploaded","INC001502"
"synthetic","generated_for_testing","UE00216","USR0016","DOC00216","EV-007","missing","missing","TXN00016"
"synthetic","generated_for_testing","UE00217","USR0017","DOC00217","EV-008","verified","uploaded","TXN00017"
"synthetic","generated_for_testing","UE00218","USR0018","DOC00218","EV-009","verified","uploaded","TXN00018"
"synthetic","generated_for_testing","UE00219","USR0019","DOC00219","EV-010","verified","uploaded","TXN00019"
"synthetic","generated_for_testing","UE00220","USR0020","DOC00220","EV-011","missing","missing","DEDREC0020"
"synthetic","generated_for_testing","UE00221","USR0021","DOC00221","EV-001","verified","uploaded","INC002101"
"synthetic","generated_for_testing","UE00222","USR0022","DOC00222","EV-002","verified","uploaded","INC002201"
"synthetic","generated_for_testing","UE00223","USR0023","DOC00223","EV-003","verified","uploaded","TXN00023"
"synthetic","generated_for_testing","UE00224","USR0024","DOC00224","EV-004","missing","missing","TXN00024"
"synthetic","generated_for_testing","UE00225","USR0025","DOC00225","EV-005","verified","uploaded","INC002501"
"synthetic","generated_for_testing","UE00226","USR0026","DOC00226","EV-006","verified","uploaded","INC002602"
"synthetic","generated_for_testing","UE00227","USR0027","DOC00227","EV-007","verified","uploaded","TXN00027"
"synthetic","generated_for_testing","UE00228","USR0028","DOC00228","EV-008","missing","missing","TXN00028"
"synthetic","generated_for_testing","UE00229","USR0029","DOC00229","EV-009","verified","uploaded","TXN00029"
"synthetic","generated_for_testing","UE00230","USR0030","DOC00230","EV-010","verified","uploaded","DED0030"
"synthetic","generated_for_testing","UE00231","USR0031","DOC00231","EV-011","verified","uploaded","TXN00031"
"synthetic","generated_for_testing","UE00232","USR0032","DOC00232","EV-001","missing","missing","INC003201"
"synthetic","generated_for_testing","UE00233","USR0033","DOC00233","EV-002","verified","uploaded","INC003301"
"synthetic","generated_for_testing","UE00234","USR0034","DOC00234","EV-003","verified","uploaded","TXN00034"
"synthetic","generated_for_testing","UE00235","USR0035","DOC00235","EV-004","verified","uploaded","TXN00035"
"synthetic","generated_for_testing","UE00236","USR0036","DOC00236","EV-005","missing","missing","INC003601"
"synthetic","generated_for_testing","UE00237","USR0037","DOC00237","EV-006","verified","uploaded","INC003702"
"synthetic","generated_for_testing","UE00238","USR0038","DOC00238","EV-007","verified","uploaded","TXN00038"
"synthetic","generated_for_testing","UE00239","USR0039","DOC00239","EV-008","verified","uploaded","TXN00039"
"synthetic","generated_for_testing","UE00240","USR0040","DOC00240","EV-009","missing","missing","INC004003"
"synthetic","generated_for_testing","UE00241","USR0041","DOC00241","EV-010","verified","uploaded","TXN00041"
"synthetic","generated_for_testing","UE00242","USR0042","DOC00242","EV-011","verified","uploaded","DED0042"
"synthetic","generated_for_testing","UE00243","USR0043","DOC00243","EV-001","verified","uploaded","INC004301"
"synthetic","generated_for_testing","UE00244","USR0044","DOC00244","EV-002","missing","missing","INC004401"
"synthetic","generated_for_testing","UE00245","USR0045","DOC00245","EV-003","verified","uploaded","TXN00045"
"synthetic","generated_for_testing","UE00246","USR0046","DOC00246","EV-004","verified","uploaded","TXN00046"
"synthetic","generated_for_testing","UE00247","USR0047","DOC00247","EV-005","verified","uploaded","INC004701"
"synthetic","generated_for_testing","UE00248","USR0048","DOC00248","EV-006","missing","missing","INC004802"
"synthetic","generated_for_testing","UE00249","USR0049","DOC00249","EV-007","verified","uploaded","LOAN0049"
"synthetic","generated_for_testing","UE00250","USR0050","DOC00250","EV-008","verified","uploaded","INC005003"
"synthetic","generated_for_testing","UE00251","USR0001","DOC00251","EV-009","verified","uploaded","TXN00001"
"synthetic","generated_for_testing","UE00252","USR0002","DOC00252","EV-010","missing","missing","TXN00002"
"synthetic","generated_for_testing","UE00253","USR0003","DOC00253","EV-011","verified","uploaded","DED0003"
"synthetic","generated_for_testing","UE00254","USR0004","DOC00254","EV-001","verified","uploaded","INC000401"
"synthetic","generated_for_testing","UE00255","USR0005","DOC00255","EV-002","verified","uploaded","INC000501"
"synthetic","generated_for_testing","UE00256","USR0006","DOC00256","EV-003","missing","missing","TXN00006"
"synthetic","generated_for_testing","UE00257","USR0007","DOC00257","EV-004","verified","uploaded","TXN00007"
"synthetic","generated_for_testing","UE00258","USR0008","DOC00258","EV-005","verified","uploaded","INC000801"
"synthetic","generated_for_testing","UE00259","USR0009","DOC00259","EV-006","verified","uploaded","INC000902"
"synthetic","generated_for_testing","UE00260","USR0010","DOC00260","EV-007","missing","missing","TXN00010"
"synthetic","generated_for_testing","UE00261","USR0011","DOC00261","EV-008","verified","uploaded","TXN00011"
"synthetic","generated_for_testing","UE00262","USR0012","DOC00262","EV-009","verified","uploaded","TXN00012"
"synthetic","generated_for_testing","UE00263","USR0013","DOC00263","EV-010","verified","uploaded","TXN00013"
"synthetic","generated_for_testing","UE00264","USR0014","DOC00264","EV-011","missing","missing","DEDREC0028"
"synthetic","generated_for_testing","UE00265","USR0015","DOC00265","EV-001","verified","uploaded","INC001501"
"synthetic","generated_for_testing","UE00266","USR0016","DOC00266","EV-002","verified","uploaded","INC001601"
"synthetic","generated_for_testing","UE00267","USR0017","DOC00267","EV-003","verified","uploaded","TXN00017"
"synthetic","generated_for_testing","UE00268","USR0018","DOC00268","EV-004","missing","missing","TXN00018"
"synthetic","generated_for_testing","UE00269","USR0019","DOC00269","EV-005","verified","uploaded","INC001901"
"synthetic","generated_for_testing","UE00270","USR0020","DOC00270","EV-006","verified","uploaded","INC002002"
"synthetic","generated_for_testing","UE00271","USR0021","DOC00271","EV-007","verified","uploaded","LOAN0021"
"synthetic","generated_for_testing","UE00272","USR0022","DOC00272","EV-008","missing","missing","TXN00022"
"synthetic","generated_for_testing","UE00273","USR0023","DOC00273","EV-009","verified","uploaded","TXN00023"
"synthetic","generated_for_testing","UE00274","USR0024","DOC00274","EV-010","verified","uploaded","DED0024"
"synthetic","generated_for_testing","UE00275","USR0025","DOC00275","EV-011","verified","uploaded","DEDREC0021"
"synthetic","generated_for_testing","UE00276","USR0026","DOC00276","EV-001","missing","missing","INC002601"
"synthetic","generated_for_testing","UE00277","USR0027","DOC00277","EV-002","verified","uploaded","INC002701"
"synthetic","generated_for_testing","UE00278","USR0028","DOC00278","EV-003","verified","uploaded","TXN00028"
"synthetic","generated_for_testing","UE00279","USR0029","DOC00279","EV-004","verified","uploaded","TXN00029"
"synthetic","generated_for_testing","UE00280","USR0030","DOC00280","EV-005","missing","missing","INC003001"
"synthetic","generated_for_testing","UE00281","USR0031","DOC00281","EV-006","verified","uploaded","INC003102"
"synthetic","generated_for_testing","UE00282","USR0032","DOC00282","EV-007","verified","uploaded","TXN00032"
