"data_type","synthetic_source","action_id","user_id","risk_id","user_risk_id","action_type","target_record_type","target_record_id","status"
"synthetic","generated_for_testing","ACT0018","USR0018","RISK-004","URISK0018","reconcile_transaction","transaction","TXN00018","open"
"synthetic","generated_for_testing","ACT0019","USR0019","RISK-005","URISK0019","upload_document","transaction","TXN00019","open"
"synthetic","generated_for_testing","ACT0020","USR0020","RISK-006","URISK0020","reconcile_transaction","transaction","TXN00020","completed"
"synthetic","generated_for_testing","ACT0021","USR0021","RISK-007","URISK0021","upload_document","transaction","TXN00021","open"
"synthetic","generated_for_testing","ACT0022","USR0022","RISK-001","URISK0022","reconcile_transaction","document","DOC00072","open"
"synthetic","generated_for_testing","ACT0023","USR0023","RISK-002","URISK0023","upload_document","income_record","INC002301","open"
"synthetic","generated_for_testing","ACT0024","USR0024","RISK-003","URISK0024","reconcile_transaction","transaction","TXN00024","completed"
"synthetic","generated_for_testing","ACT0025","USR0025","RISK-004","URISK0025","upload_document","obligation","OBLITR0025","open"
"synthetic","generated_for_testing","ACT0026","USR0026","RISK-005","URISK0026","reconcile_transaction","reconciliation","REC0126","open"
"synthetic","generated_for_testing","ACT0027","USR0027","RISK-006","URISK0027","upload_document","transaction","TXN00027","open"
"synthetic","generated_for_testing","ACT0028","USR0028","RISK-007","URISK0028","reconcile_transaction","transaction","TXN00028","completed"
"synthetic","generated_for_testing","ACT0029","USR0029","RISK-001","URISK0029","upload_document","transaction","TXN00029","open"
"synthetic","generated_for_testing","ACT0030","USR0030","RISK-002","URISK0030","reconcile_transaction","income_record","INC003001","open"
"synthetic","generated_for_testing","ACT0031","USR0031","RISK-003","URISK0031","upload_document","obligation","OBLITR0031","open"
"synthetic","generated_for_testing","ACT0032","USR0032","RISK-004","URISK0032","reconcile_transaction","obligation","OBLITR0032","completed"
"synthetic","generated_for_testing","ACT0033","USR0033","RISK-005","URISK0033","upload_document","transaction","TXN00033","open"
"synthetic","generated_for_testing","ACT0034","USR0034","RISK-006","URISK0034","reconcile_transaction","transaction","TXN00034","open"
"synthetic","generated_for_testing","ACT0035","USR0035","RISK-007","URISK0035","upload_document","transaction","TXN00035","open"
"synthetic","generated_for_testing","ACT0036","USR0036","RISK-001","URISK0036","reconcile_transaction","document","DOC00036","completed"
"synthetic","generated_for_testing","ACT0037","USR0037","RISK-002","URISK0037","upload_document","income_record","INC003701","open"
"synthetic","generated_for_testing","ACT0038","USR0038","RISK-003","URISK0038","reconcile_transaction","obligation","OBLITR0038","open"
"synthetic","generated_for_testing","ACT0039","USR0039","RISK-004","URISK0039","upload_document","transaction","TXN00039","open"
"synthetic","generated_for_testing","ACT0040","USR0040","RISK-005","URISK0040","reconcile_transaction","reconciliation","REC0090","completed"
"synthetic","generated_for_testing","ACT0041","USR0041","RISK-006","URISK0041","upload_document","transaction","TXN00041","open"
"synthetic","generated_for_testing","ACT0042","USR0042","RISK-007","URISK0042","reconcile_transaction","transaction","TXN00042","open"
"synthetic","generated_for_testing","ACT0043","USR0043","RISK-001","URISK0043","upload_document","transaction","TXN00043","open"
"synthetic","generated_for_testing","ACT0044","USR0044","RISK-002","URISK0044","reconcile_transaction","income_record","INC004401","completed"
"synthetic","generated_for_testing","ACT0045","USR0045","RISK-003","URISK0045","upload_document","transaction","TXN00045","open"
"synthetic","generated_for_testing","ACT0046","USR0046","RISK-004","URISK0046","reconcile_transaction","obligation","OBLITR0046","open"
"synthetic","generated_for_testing","ACT0047","USR0047","RISK-005","URISK0047","upload_document","transaction","TXN00047","open"
"synthetic","generated_for_testing","ACT0048","USR0048","RISK-006","URISK0048","reconcile_transaction","deduction","DED0048","completed"
"synthetic","generated_for_testing","ACT0049","USR0049","RISK-007","URISK0049","upload_document","transaction","TXN00049","open"
"synthetic","generated_for_testing","ACT0050","USR0050","RISK-001","URISK0050","reconcile_transaction","document","DOC00100","open"
"synthetic","generated_for_testing","ACT0051","USR0001","RISK-001","URISK0001","upload_document","transaction","TXN00001","open"
"synthetic","generated_for_testing","ACT0052","USR0002","RISK-002","URISK0002","reconcile_transaction","income_record","INC000201","completed"
"synthetic","generated_for_testing","ACT0053","USR0003","RISK-003","URISK0003","upload_document","transaction","TXN00003","open"
"synthetic","generated_for_testing","ACT0054","USR0004","RISK-004","URISK0004","reconcile_transaction","obligation","OBLITR0004","open"
"synthetic","generated_for_testing","ACT0055","USR0005","RISK-005","URISK0005","upload_document","transaction","TXN00005","open"
"synthetic","generated_for_testing","ACT0056","USR0006","RISK-006","URISK0006","reconcile_transaction","deduction","DED0006","completed"
"synthetic","generated_for_testing","ACT0057","USR0007","RISK-007","URISK0007","upload_document","obligation","OBLPAY0007","open"
"synthetic","generated_for_testing","ACT0058","USR0008","RISK-001","URISK0008","reconcile_transaction","document","DOC00008","open"
"synthetic","generated_for_testing","ACT0059","USR0009","RISK-002","URISK0009","upload_document","income_record","INC000901","open"
"synthetic","generated_for_testing","ACT0060","USR0010","RISK-003","URISK0010","reconcile_transaction","obligation","OBLITR0010","completed"
"synthetic","generated_for_testing","ACT0061","USR0011","RISK-004","URISK0011","upload_document","obligation","OBLITR0011","open"
"synthetic","generated_for_testing","ACT0062","USR0012","RISK-005","URISK0012","reconcile_transaction","reconciliation","REC0012","open"
"synthetic","generated_for_testing","ACT0063","USR0013","RISK-006","URISK0013","upload_document","transaction","TXN00013","open"
"synthetic","generated_for_testing","ACT0064","USR0014","RISK-007","URISK0014","reconcile_transaction","transaction","TXN00014","completed"
"synthetic","generated_for_testing","ACT0065","USR0015","RISK-001","URISK0015","upload_document","transaction","TXN00015","open"
"synthetic","generated_for_testing","ACT0066","USR0016","RISK-002","URISK0016","reconcile_transaction","income_record","INC001601","open"
"synthetic","generated_for_testing","ACT0067","USR0017","RISK-003","URISK0017","upload_document","obligation","OBLITR0017","open"
"synthetic","generated_for_testing","ACT0068","USR0018","RISK-004","URISK0018","reconcile_transaction","transaction","TXN00018","completed"
"synthetic","generated_for_testing","ACT0069","USR0019","RISK-005","URISK0019","upload_document","transaction","TXN00019","open"
"synthetic","generated_for_testing","ACT0070","USR0020","RISK-006","URISK0020","reconcile_transaction","transaction","TXN00020","open"
"synthetic","generated_for_testing","ACT0071","USR0021","RISK-007","URISK0021","upload_document","transaction","TXN00021","open"
"synthetic","generated_for_testing","ACT0072","USR0022","RISK-001","URISK0022","reconcile_transaction","document","DOC00072","completed"
"synthetic","generated_for_testing","ACT0073","USR0023","RISK-002","URISK0023","upload_document","income_record","INC002301","open"
"synthetic","generated_for_testing","ACT0074","USR0024","RISK-003","URISK0024","reconcile_transaction","transaction","TXN00024","open"
"synthetic","generated_for_testing","ACT0075","USR0025","RISK-004","URISK0025","upload_document","obligation","OBLITR0025","open"
"synthetic","generated_for_testing","ACT0076","USR0026","RISK-005","URISK0026","reconcile_transaction","reconciliation","REC0126","completed"
"synthetic","generated_for_testing","ACT0077","USR0027","RISK-006","URISK0027","upload_document","transaction","TXN00027","open"
"synthetic","generated_for_testing","ACT0078","USR0028","RISK-007","URISK0028","reconcile_transaction","transaction","TXN00028","open"
"synthetic","generated_for_testing","ACT0079","USR0029","RISK-001","URISK0029","upload_document","transaction","TXN00029","open"
"synthetic","generated_for_testing","ACT0080","USR0030","RISK-002","URISK0030","reconcile_transaction","income_record","INC003001","completed"
"synthetic","generated_for_testing","ACT0081","USR0031","RISK-003","URISK0031","upload_document","obligation","OBLITR0031","open"
"synthetic","generated_for_testing","ACT0082","USR0032","RISK-004","URISK0032","reconcile_transaction","obligation","OBLITR0032","open"
"synthetic","generated_for_testing","ACT0083","USR0033","RISK-005","URISK0033","upload_document","transaction","TXN00033","open"
"synthetic","generated_for_testing","ACT0084","USR0034","RISK-006","URISK0034","reconcile_transaction","transaction","TXN00034","completed"
"synthetic","generated_for_testing","ACT0085","USR0035","RISK-007","URISK0035","upload_document","transaction","TXN00035","open"
"synthetic","generated_for_testing","ACT0086","USR0036","RISK-001","URISK0036","reconcile_transaction","document","DOC00036","open"
"synthetic","generated_for_testing","ACT0087","USR0037","RISK-002","URISK0037","upload_document","income_record","INC003701","open"
"synthetic","generated_for_testing","ACT0088","USR0038","RISK-003","URISK0038","reconcile_transaction","obligation","OBLITR0038","completed"
"synthetic","generated_for_testing","ACT0089","USR0039","RISK-004","URISK0039","upload_document","transaction","TXN00039","open"
"synthetic","generated_for_testing","ACT0090","USR0040","RISK-005","URISK0040","reconcile_transaction","reconciliation","REC0090","open"
"synthetic","generated_for_testing","ACT0091","USR0041","RISK-006","URISK0041","upload_document","transaction","TXN00041","open"
"synthetic","generated_for_testing","ACT0092","USR0042","RISK-007","URISK0042","reconcile_transaction","transaction","TXN00042","completed"
"synthetic","generated_for_testing","ACT0093","USR0043","RISK-001","URISK0043","upload_document","transaction","TXN00043","open"
"synthetic","generated_for_testing","ACT0094","USR0044","RISK-002","URISK0044","reconcile_transaction","income_record","INC004401","open"
"synthetic","generated_for_testing","ACT0095","USR0045","RISK-003","URISK0045","upload_document","transaction","TXN00045","open"
"synthetic","generated_for_testing","ACT0096","USR0046","RISK-004","URISK0046","reconcile_transaction","obligation","OBLITR0046","completed"
"synthetic","generated_for_testing","ACT0097","USR0047","RISK-005","URISK0047","upload_document","transaction","TXN00047","open"
"synthetic","generated_for_testing","ACT0098","USR0048","RISK-006","URISK0048","reconcile_transaction","deduction","DED0048","open"
"synthetic","generated_for_testing","ACT0099","USR0049","RISK-007","URISK0049","upload_document","transaction","TXN00049","open"
"synthetic","generated_for_testing","ACT0100","USR0050","RISK-001","URISK0050","reconcile_transaction","document","DOC00100","completed"
