"data_type","synthetic_source","income_id","user_id","income_type","financial_year","gross_amount","tds_amount","evidence_status","record_origin","tax_regime","salary_deduction_rule_id","interest_deduction_rule_id","business_rule_id","gross_rent","municipal_taxes_paid","annual_value","property_use","housing_loan_interest"
"synthetic","generated_for_testing","INC002403","USR0024","freelance","2025-26","26400","792","linked","seed_income_record","old",,,"BIZ-004","0","0","0",,"0"
"synthetic","generated_for_testing","INC002501","USR0025","salary","2025-26","1050000","31500","linked","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC002502","USR0025","bank_interest","2025-26","27000","0","linked","seed_income_record","old",,"DED-014",,"0","0","0",,"0"
"synthetic","generated_for_testing","INC002503","USR0025","rental_income","2025-26","27000","0","linked","seed_income_record","old",,,,"27000","1350.00","25650.00","let_out","0"
"synthetic","generated_for_testing","INC002601","USR0026","salary","2025-26","1068000","32040","linked","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC002602","USR0026","bank_interest","2025-26","27600","0","linked","seed_income_record","old",,"DED-014",,"0","0","0",,"0"
"synthetic","generated_for_testing","INC002603","USR0026","dividend","2025-26","27600","0","missing","seed_income_record","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC002701","USR0027","salary","2025-26","1086000","32580","linked","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC002702","USR0027","bank_interest","2025-26","28200","0","missing","seed_income_record","old",,"DED-013",,"0","0","0",,"0"
"synthetic","generated_for_testing","INC002703","USR0027","freelance","2025-26","28200","846","linked","seed_income_record","old",,,"BIZ-004","0","0","0",,"0"
"synthetic","generated_for_testing","INC002801","USR0028","salary","2025-26","1104000","33120","missing","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC002802","USR0028","bank_interest","2025-26","28800","0","linked","seed_income_record","old",,"DED-014",,"0","0","0",,"0"
"synthetic","generated_for_testing","INC002803","USR0028","dividend","2025-26","28800","0","linked","seed_income_record","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC002901","USR0029","salary","2025-26","1122000","33660","linked","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC002902","USR0029","bank_interest","2025-26","29400","0","linked","seed_income_record","old",,"DED-014",,"0","0","0",,"0"
"synthetic","generated_for_testing","INC002903","USR0029","dividend","2025-26","29400","0","linked","seed_income_record","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC003001","USR0030","salary","2025-26","1140000","34200","linked","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC003002","USR0030","bank_interest","2025-26","30000","0","linked","seed_income_record","old",,"DED-013",,"0","0","0",,"0"
"synthetic","generated_for_testing","INC003003","USR0030","freelance","2025-26","30000","900","missing","seed_income_record","old",,,"BIZ-004","0","0","0",,"0"
"synthetic","generated_for_testing","INC003101","USR0031","salary","2025-26","1158000","34740","linked","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC003102","USR0031","bank_interest","2025-26","30600","0","missing","seed_income_record","old",,"DED-014",,"0","0","0",,"0"
"synthetic","generated_for_testing","INC003103","USR0031","dividend","2025-26","30600","0","linked","seed_income_record","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC003201","USR0032","salary","2025-26","1176000","35280","missing","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC003202","USR0032","bank_interest","2025-26","31200","0","linked","seed_income_record","old",,"DED-014",,"0","0","0",,"0"
"synthetic","generated_for_testing","INC003203","USR0032","dividend","2025-26","31200","0","linked","seed_income_record","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC003301","USR0033","salary","2025-26","1194000","35820","linked","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC003302","USR0033","bank_interest","2025-26","31800","0","linked","seed_income_record","old",,"DED-013",,"0","0","0",,"0"
"synthetic","generated_for_testing","INC003303","USR0033","freelance","2025-26","31800","954","linked","seed_income_record","old",,,"BIZ-004","0","0","0",,"0"
"synthetic","generated_for_testing","INC003401","USR0034","salary","2025-26","1212000","36360","linked","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC003402","USR0034","bank_interest","2025-26","32400","0","linked","seed_income_record","old",,"DED-014",,"0","0","0",,"0"
"synthetic","generated_for_testing","INC003403","USR0034","dividend","2025-26","32400","0","missing","seed_income_record","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC003501","USR0035","salary","2025-26","1230000","36900","linked","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC003502","USR0035","bank_interest","2025-26","33000","0","missing","seed_income_record","old",,"DED-014",,"0","0","0",,"0"
"synthetic","generated_for_testing","INC003503","USR0035","rental_income","2025-26","33000","0","linked","seed_income_record","old",,,,"33000","1650.00","31350.00","let_out","130000"
"synthetic","generated_for_testing","INC003601","USR0036","salary","2025-26","1248000","37440","missing","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC003602","USR0036","bank_interest","2025-26","33600","0","linked","seed_income_record","old",,"DED-013",,"0","0","0",,"0"
"synthetic","generated_for_testing","INC003603","USR0036","freelance","2025-26","33600","1008","linked","seed_income_record","old",,,"BIZ-004","0","0","0",,"0"
"synthetic","generated_for_testing","INC003701","USR0037","salary","2025-26","1266000","37980","linked","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC003702","USR0037","bank_interest","2025-26","34200","0","linked","seed_income_record","old",,"DED-014",,"0","0","0",,"0"
"synthetic","generated_for_testing","INC003703","USR0037","dividend","2025-26","34200","0","linked","seed_income_record","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC003801","USR0038","salary","2025-26","1284000","38520","linked","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC003802","USR0038","bank_interest","2025-26","34800","0","linked","seed_income_record","old",,"DED-014",,"0","0","0",,"0"
"synthetic","generated_for_testing","INC003803","USR0038","dividend","2025-26","34800","0","missing","seed_income_record","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC003901","USR0039","salary","2025-26","1302000","39060","linked","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC003902","USR0039","bank_interest","2025-26","35400","0","missing","seed_income_record","old",,"DED-013",,"0","0","0",,"0"
"synthetic","generated_for_testing","INC003903","USR0039","freelance","2025-26","35400","1062","linked","seed_income_record","old",,,"BIZ-004","0","0","0",,"0"
"synthetic","generated_for_testing","INC004001","USR0040","salary","2025-26","1320000","39600","missing","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC004002","USR0040","bank_interest","2025-26","36000","0","linked","seed_income_record","old",,"DED-014",,"0","0","0",,"0"
"synthetic","generated_for_testing","INC004003","USR0040","rental_income","2025-26","36000","0","linked","seed_income_record","old",,,,"36000","1800.00","34200.00","let_out","0"
"synthetic","generated_for_testing","INC004101","USR0041","salary","2025-26","1338000","40140","linked","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC004102","USR0041","bank_interest","2025-26","36600","0","linked","seed_income_record","old",,"DED-014",,"0","0","0",,"0"
"synthetic","generated_for_testing","INC004103","USR0041","dividend","2025-26","36600","0","linked","seed_income_record","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC004201","USR0042","salary","2025-26","1356000","40680","linked","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC004202","USR0042","bank_interest","2025-26","37200","0","linked","seed_income_record","old",,"DED-013",,"0","0","0",,"0"
"synthetic","generated_for_testing","INC004203","USR0042","freelance","2025-26","37200","1116","missing","seed_income_record","old",,,"BIZ-004","0","0","0",,"0"
"synthetic","generated_for_testing","INC004301","USR0043","salary","2025-26","1374000","41220","linked","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC004302","USR0043","bank_interest","2025-26","37800","0","missing","seed_income_record","old",,"DED-014",,"0","0","0",,"0"
"synthetic","generated_for_testing","INC004303","USR0043","dividend","2025-26","37800","0","linked","seed_income_record","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC004401","USR0044","salary","2025-26","1392000","41760","missing","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC004402","USR0044","bank_interest","2025-26","38400","0","linked","seed_income_record","old",,"DED-014",,"0","0","0",,"0"
"synthetic","generated_for_testing","INC004403","USR0044","dividend","2025-26","38400","0","linked","seed_income_record","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC004501","USR0045","salary","2025-26","1410000","42300","linked","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC004502","USR0045","bank_interest","2025-26","39000","0","linked","seed_income_record","old",,"DED-013",,"0","0","0",,"0"
"synthetic","generated_for_testing","INC004503","USR0045","freelance","2025-26","39000","1170","linked","seed_income_record","old",,,"BIZ-004","0","0","0",,"0"
"synthetic","generated_for_testing","INC004601","USR0046","salary","2025-26","1428000","42840","linked","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC004602","USR0046","bank_interest","2025-26","39600","0","linked","seed_income_record","old",,"DED-014",,"0","0","0",,"0"
"synthetic","generated_for_testing","INC004603","USR0046","dividend","2025-26","39600","0","missing","seed_income_record","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC004701","USR0047","salary","2025-26","1446000","43380","linked","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC004702","USR0047","bank_interest","2025-26","40200","0","missing","seed_income_record","old",,"DED-014",,"0","0","0",,"0"
"synthetic","generated_for_testing","INC004703","USR0047","dividend","2025-26","40200","0","linked","seed_income_record","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC004801","USR0048","salary","2025-26","1464000","43920","missing","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC004802","USR0048","bank_interest","2025-26","40800","0","linked","seed_income_record","old",,"DED-013",,"0","0","0",,"0"
"synthetic","generated_for_testing","INC004803","USR0048","freelance","2025-26","40800","1224","linked","seed_income_record","old",,,"BIZ-004","0","0","0",,"0"
"synthetic","generated_for_testing","INC004901","USR0049","salary","2025-26","1482000","44460","linked","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC004902","USR0049","bank_interest","2025-26","41400","0","linked","seed_income_record","old",,"DED-014",,"0","0","0",,"0"
"synthetic","generated_for_testing","INC004903","USR0049","dividend","2025-26","41400","0","linked","seed_income_record","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC005001","USR0050","salary","2025-26","1500000","45000","linked","seed_income_record","old","DED-011",,,"0","0","0",,"0"
"synthetic","generated_for_testing","INC005002","USR0050","bank_interest","2025-26","42000","0","linked","seed_income_record","old",,"DED-014",,"0","0","0",,"0"
"synthetic","generated_for_testing","INC005003","USR0050","rental_income","2025-26","42000","0","missing","seed_income_record","old",,,,"42000","2100.00","39900.00","let_out","0"
"synthetic","generated_for_testing","INCX0001purchase","USR0001","investment_acquisition","2025-26","385296","0","linked","transaction_rollup","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INCX0001sale","USR0001","capital_gain","2025-26","0","0","linked","transaction_rollup","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INCX0002purchase","USR0002","investment_acquisition","2025-26","0","0","linked","transaction_rollup","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INCX0002sale","USR0002","capital_gain","2025-26","386392","0","linked","transaction_rollup","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INCX0003purchase","USR0003","investment_acquisition","2025-26","332688","0","linked","transaction_rollup","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INCX0003sale","USR0003","capital_gain","2025-26","0","0","linked","transaction_rollup","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INCX0004purchase","USR0004","investment_acquisition","2025-26","0","0","linked","transaction_rollup","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INCX0004sale","USR0004","capital_gain","2025-26","333784","0","linked","transaction_rollup","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INCX0005purchase","USR0005","investment_acquisition","2025-26","354480","0","linked","transaction_rollup","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INCX0005sale","USR0005","capital_gain","2025-26","0","0","linked","transaction_rollup","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INCX0006purchase","USR0006","investment_acquisition","2025-26","0","0","linked","transaction_rollup","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INCX0006sale","USR0006","capital_gain","2025-26","355576","0","linked","transaction_rollup","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INCX0007purchase","USR0007","investment_acquisition","2025-26","301872","0","linked","transaction_rollup","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INCX0007sale","USR0007","capital_gain","2025-26","0","0","linked","transaction_rollup","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INCX0008purchase","USR0008","investment_acquisition","2025-26","0","0","linked","transaction_rollup","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INCX0008sale","USR0008","capital_gain","2025-26","302968","0","linked","transaction_rollup","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INCX0009purchase","USR0009","investment_acquisition","2025-26","339264","0","linked","transaction_rollup","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INCX0009sale","USR0009","capital_gain","2025-26","0","0","linked","transaction_rollup","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INCX0010purchase","USR0010","investment_acquisition","2025-26","0","0","linked","transaction_rollup","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INCX0010sale","USR0010","capital_gain","2025-26","340360","0","linked","transaction_rollup","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INCX0011purchase","USR0011","investment_acquisition","2025-26","361056","0","linked","transaction_rollup","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INCX0011sale","USR0011","capital_gain","2025-26","0","0","linked","transaction_rollup","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INCX0012purchase","USR0012","investment_acquisition","2025-26","0","0","linked","transaction_rollup","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INCX0012sale","USR0012","capital_gain","2025-26","362152","0","linked","transaction_rollup","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INCX0013purchase","USR0013","investment_acquisition","2025-26","308448","0","linked","transaction_rollup","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INCX0013sale","USR0013","capital_gain","2025-26","0","0","linked","transaction_rollup","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INCX0014purchase","USR0014","investment_acquisition","2025-26","0","0","linked","transaction_rollup","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INCX0014sale","USR0014","capital_gain","2025-26","309544","0","linked","transaction_rollup","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INCX0015purchase","USR0015","investment_acquisition","2025-26","345840","0","linked","transaction_rollup","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INCX0015sale","USR0015","capital_gain","2025-26","0","0","linked","transaction_rollup","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INCX0016purchase","USR0016","investment_acquisition","2025-26","0","0","linked","transaction_rollup","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INCX0016sale","USR0016","capital_gain","2025-26","346936","0","linked","transaction_rollup","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INCX0017purchase","USR0017","investment_acquisition","2025-26","367632","0","linked","transaction_rollup","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INCX0017sale","USR0017","capital_gain","2025-26","0","0","linked","transaction_rollup","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INCX0018purchase","USR0018","investment_acquisition","2025-26","0","0","linked","transaction_rollup","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INCX0018sale","USR0018","capital_gain","2025-26","368728","0","linked","transaction_rollup","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INCX0019purchase","USR0019","investment_acquisition","2025-26","315024","0","linked","transaction_rollup","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INCX0019sale","USR0019","capital_gain","2025-26","0","0","linked","transaction_rollup","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INCX0020purchase","USR0020","investment_acquisition","2025-26","0","0","linked","transaction_rollup","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INCX0020sale","USR0020","capital_gain","2025-26","316120","0","linked","transaction_rollup","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INCX0021purchase","USR0021","investment_acquisition","2025-26","352416","0","linked","transaction_rollup","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INCX0021sale","USR0021","capital_gain","2025-26","0","0","linked","transaction_rollup","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INCX0022purchase","USR0022","investment_acquisition","2025-26","0","0","linked","transaction_rollup","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INCX0022sale","USR0022","capital_gain","2025-26","353512","0","linked","transaction_rollup","old",,,,"0","0","0",,"0"
"synthetic","generated_for_testing","INCX0023purchase","USR0023","investment_acquisition","2025-26","374208","0","linked","transaction_rollup","old",,,,"0","0","0",,"0"
