"rule_id","assessment_year","financial_year","tax_regime","rule_type","age_category","income_from","income_to","threshold_from","threshold_to","rate_percent","rebate_applicable","rebate_limit","cess_percent","surcharge_rate","surcharge_rate_percent","marginal_relief_applicable","special_income_exclusion","conditions","source_name","source_url","source_date","source_reference"
"RATE-012","2026-27","2025-26","old","slab","60 to under 80","0","300000","0","300000","0","NO","","4","SEE_SOURCE",,"NO","none","Ordinary slab income; see source for rate computation.","Salaried Individuals for AY 2026-27","https://www.incometax.gov.in/iec/foportal/help/individual/return-applicable-1","2025-04-01","tax slab tables"
"RATE-013","2026-27","2025-26","old","slab","60 to under 80","300001","500000","300001","500000","5","NO","","4","SEE_SOURCE",,"NO","none","Ordinary slab income; see source for rate computation.","Salaried Individuals for AY 2026-27","https://www.incometax.gov.in/iec/foportal/help/individual/return-applicable-1","2025-04-01","tax slab tables"
"RATE-014","2026-27","2025-26","old","slab","60 to under 80","500001","1000000","500001","1000000","20","NO","","4","SEE_SOURCE",,"NO","none","Ordinary slab income; see source for rate computation.","Salaried Individuals for AY 2026-27","https://www.incometax.gov.in/iec/foportal/help/individual/return-applicable-1","2025-04-01","tax slab tables"
"RATE-015","2026-27","2025-26","old","slab","60 to under 80","1000001","NO_UPPER_LIMIT","1000001",,"30","NO","","4","SEE_SOURCE",,"NO","none","Ordinary slab income; see source for rate computation.","Salaried Individuals for AY 2026-27","https://www.incometax.gov.in/iec/foportal/help/individual/return-applicable-1","2025-04-01","tax slab tables"
"RATE-016","2026-27","2025-26","old","slab","80 or older","0","500000","0","500000","0","NO","","4","SEE_SOURCE",,"NO","none","Ordinary slab income; see source for rate computation.","Salaried Individuals for AY 2026-27","https://www.incometax.gov.in/iec/foportal/help/individual/return-applicable-1","2025-04-01","tax slab tables"
"RATE-017","2026-27","2025-26","old","slab","80 or older","500001","1000000","500001","1000000","20","NO","","4","SEE_SOURCE",,"NO","none","Ordinary slab income; see source for rate computation.","Salaried Individuals for AY 2026-27","https://www.incometax.gov.in/iec/foportal/help/individual/return-applicable-1","2025-04-01","tax slab tables"
"RATE-018","2026-27","2025-26","old","slab","80 or older","1000001","NO_UPPER_LIMIT","1000001",,"30","NO","","4","SEE_SOURCE",,"NO","none","Ordinary slab income; see source for rate computation.","Salaried Individuals for AY 2026-27","https://www.incometax.gov.in/iec/foportal/help/individual/return-applicable-1","2025-04-01","tax slab tables"
"RATE-REBATE-NEW","2026-27","2025-26","new","rebate","resident_individual","0","1200000","0","1200000","100","YES","60000","4","SEE_SOURCE",,"NO","none","Section 87A rebate; taxable income must not exceed Rs. 12,00,000.","Salaried Individuals for AY 2026-27","https://www.incometax.gov.in/iec/foportal/help/individual/return-applicable-1","2025-04-01","Applicable Rebate u/s 87A table"
"RATE-REBATE-OLD","2026-27","2025-26","old","rebate","resident_individual","0","500000","0","500000","100","YES","12500","4","SEE_SOURCE",,"NO","none","Section 87A rebate; taxable income must not exceed Rs. 5,00,000.","Salaried Individuals for AY 2026-27","https://www.incometax.gov.in/iec/foportal/help/individual/return-applicable-1","2025-04-01","Applicable Rebate u/s 87A table"
"RATE-CESS","2026-27","2025-26","both","cess","all_individuals","","",,,"0","NO","","4","SEE_SOURCE",,"NO","none","Health and Education Cess on income tax plus surcharge, if any.","Salaried Individuals for AY 2026-27","https://www.incometax.gov.in/iec/foportal/help/individual/return-applicable-1","2025-04-01","Tax Slabs for AY 2026-27 note"
"RATE-SURCHARGE-NEW-10","2026-27","2025-26","new","surcharge","all_individuals","5000001","10000000","5000001","10000000","0","NO",,"4","10 percent","10","YES","sections_111A_112_112A_and_dividend_subject_to_statutory_cap","Apply marginal relief at surcharge threshold; apply statutory special-income surcharge cap.","Income Tax Department AY 2026-27 individual guidance","https://www.incometax.gov.in/iec/foportal/help/individual-business-profession?mobile-app=1","2026-01-01","Applicable surcharge rates and marginal relief note"
"RATE-SURCHARGE-NEW-15","2026-27","2025-26","new","surcharge","all_individuals","10000001","20000000","10000001","20000000","0","NO",,"4","15 percent","15","YES","sections_111A_112_112A_and_dividend_subject_to_statutory_cap","Apply marginal relief at surcharge threshold; apply statutory special-income surcharge cap.","Income Tax Department AY 2026-27 individual guidance","https://www.incometax.gov.in/iec/foportal/help/individual-business-profession?mobile-app=1","2026-01-01","Applicable surcharge rates and marginal relief note"
"RATE-SURCHARGE-NEW-25","2026-27","2025-26","new","surcharge","all_individuals","20000001","NO_UPPER_LIMIT","20000001",,"0","NO",,"4","25 percent","25","YES","sections_111A_112_112A_and_dividend_subject_to_statutory_cap","Apply marginal relief at surcharge threshold; apply statutory special-income surcharge cap.","Income Tax Department AY 2026-27 individual guidance","https://www.incometax.gov.in/iec/foportal/help/individual-business-profession?mobile-app=1","2026-01-01","Applicable surcharge rates and marginal relief note"
"RATE-SURCHARGE-OLD-10","2026-27","2025-26","old","surcharge","all_individuals","5000001","10000000","5000001","10000000","0","NO",,"4","10 percent","10","YES","sections_111A_112_112A_and_dividend_subject_to_statutory_cap","Apply marginal relief at surcharge threshold; apply statutory special-income surcharge cap.","Income Tax Department AY 2026-27 individual guidance","https://www.incometax.gov.in/iec/foportal/help/individual-business-profession?mobile-app=1","2026-01-01","Applicable surcharge rates and marginal relief note"
"RATE-SURCHARGE-OLD-15","2026-27","2025-26","old","surcharge","all_individuals","10000001","20000000","10000001","20000000","0","NO",,"4","15 percent","15","YES","sections_111A_112_112A_and_dividend_subject_to_statutory_cap","Apply marginal relief at surcharge threshold; apply statutory special-income surcharge cap.","Income Tax Department AY 2026-27 individual guidance","https://www.incometax.gov.in/iec/foportal/help/individual-business-profession?mobile-app=1","2026-01-01","Applicable surcharge rates and marginal relief note"
"RATE-SURCHARGE-OLD-25","2026-27","2025-26","old","surcharge","all_individuals","20000001","50000000","20000001","50000000","0","NO",,"4","25 percent","25","YES","sections_111A_112_112A_and_dividend_subject_to_statutory_cap","Apply marginal relief at surcharge threshold; apply statutory special-income surcharge cap.","Income Tax Department AY 2026-27 individual guidance","https://www.incometax.gov.in/iec/foportal/help/individual-business-profession?mobile-app=1","2026-01-01","Applicable surcharge rates and marginal relief note"
"RATE-SURCHARGE-OLD-37","2026-27","2025-26","old","surcharge","all_individuals","50000001","NO_UPPER_LIMIT","50000001",,"0","NO",,"4","37 percent","37","YES","sections_111A_112_112A_and_dividend_subject_to_statutory_cap","Apply marginal relief at surcharge threshold; apply statutory special-income surcharge cap.","Income Tax Department AY 2026-27 individual guidance","https://www.incometax.gov.in/iec/foportal/help/individual-business-profession?mobile-app=1","2026-01-01","Applicable surcharge rates and marginal relief note"
